"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2019년 09월","S-OIL","일반","2275.07","1988.67","1860.33","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2019년 10월","S-OIL","일반","2276.00","1989.00","1885.00","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2019년 11월","S-OIL","일반","2276.00","1983.67","1879.67","0.00"
"A0001176","서울 강남구","경원주유소","서울 강남구 도산대로 428 (청담동)","2019년 12월","S-OIL","일반","2276.00","1988.35","1875.00","0.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2019년 07월","GS칼텍스","셀프","1815.55","1637.87","1507.32","1275.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2019년 08월","GS칼텍스","셀프","1832.00","1649.00","1517.00","0.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2019년 09월","GS칼텍스","셀프","1876.50","1695.63","1560.23","1275.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2019년 10월","GS칼텍스","셀프","1859.52","1690.87","1563.42","1267.24"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2019년 11월","GS칼텍스","셀프","1852.00","1684.33","1536.00","1250.00"
"A0009733","서울 강남구","논현동주유소","서울 강남구 학동로 229 (논현동)","2019년 12월","GS칼텍스","셀프","1860.00","1697.00","1550.45","1250.81"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2019년 07월","SK에너지","일반","2050.00","1795.00","1595.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2019년 08월","SK에너지","일반","2030.48","1795.00","1595.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2019년 09월","SK에너지","일반","2048.17","1850.00","1650.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2019년 10월","SK에너지","일반","2050.00","1835.19","1650.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2019년 11월","SK에너지","일반","2033.00","1799.00","1599.00","0.00"
"A0009705","서울 강남구","대교주유소","서울 강남구 강남대로 640 (신사동)","2019년 12월","SK에너지","일반","1999.00","1799.00","1600.65","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2019년 07월","SK에너지","셀프","1779.00","1596.00","1487.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2019년 08월","SK에너지","셀프","1779.00","1596.00","1487.00","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2019년 09월","SK에너지","셀프","1798.33","1654.40","1530.33","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2019년 10월","SK에너지","셀프","1802.71","1657.06","1534.13","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2019년 11월","SK에너지","셀프","1792.30","1639.30","1501.33","0.00"
"A0009712","서울 강남구","대동석유 압구정주유소","서울 강남구 언주로 842 (신사동)","2019년 12월","SK에너지","셀프","1802.29","1654.13","1502.29","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2019년 07월","GS칼텍스","일반","1975.39","1877.00","1677.00","0.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2019년 08월","GS칼텍스","일반","1892.16","1797.00","1597.00","1509.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2019년 09월","GS칼텍스","일반","1959.33","1861.00","1661.00","1509.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2019년 10월","GS칼텍스","일반","1973.13","1879.58","1679.58","1509.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2019년 11월","GS칼텍스","일반","1973.67","1887.67","1687.67","1509.00"
"A0001225","서울 강남구","대성석유(주)동호주유소","서울 강남구 봉은사로113길 51","2019년 12월","GS칼텍스","일반","1986.35","1908.29","1708.29","0.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2019년 07월","SK에너지","일반","2077.13","1840.52","1692.29","1489.87"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2019년 08월","SK에너지","일반","2083.48","1850.19","1691.45","1496.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2019년 09월","SK에너지","일반","2104.59","1891.33","1726.07","1497.03"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2019년 10월","SK에너지","일반","2099.90","1895.32","1733.87","1503.25"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2019년 11월","SK에너지","일반","2093.33","1885.80","1726.00","1499.00"
"A0010177","서울 강남구","대청주유소","서울 강남구 개포로 654 (일원동)","2019년 12월","SK에너지","일반","2106.00","1899.26","1744.39","1514.35"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2019년 07월","SK에너지","일반","0.00","1865.13","1694.00","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2019년 08월","SK에너지","일반","0.00","1889.65","1694.65","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2019년 09월","SK에너지","일반","0.00","1953.00","1741.00","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2019년 10월","SK에너지","일반","0.00","1950.23","1738.23","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2019년 11월","SK에너지","일반","0.00","1932.33","1715.00","0.00"
"A0009842","서울 강남구","동일석유㈜직영 남부주유소","서울 강남구 선릉로 34","2019년 12월","SK에너지","일반","0.00","1947.00","1715.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2019년 07월","S-OIL","일반","2105.00","1938.00","1786.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2019년 08월","S-OIL","일반","2105.00","1938.00","1786.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2019년 09월","S-OIL","일반","2160.00","1993.00","1841.00","0.00"
"A0010232","서울 강남구","명품주유소","서울 강남구 도곡로 249 (역삼동)","2019년 10월","S-OIL","일반","2154.03","1987.03","1835.03","0.00"
