"번호","지역","상호","주소","기간","상표","셀프여부","LPG"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 01월","E1","일반","858.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 02월","E1","일반","910.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 03월","E1","일반","962.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 04월","E1","일반","962.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 05월","E1","일반","962.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 06월","E1","일반","939.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 07월","E1","일반","968.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 08월","E1","일반","1015.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 09월","E1","일반","1044.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 10월","E1","일반","1044.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 11월","E1","일반","1115.67"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2021년 12월","E1","일반","1153.00"
