"번호","지역","상호","주소","기간","상표","셀프여부","LPG"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 01월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 02월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 03월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 04월","E1","일반","845.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 05월","E1","일반","898.71"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 06월","E1","일반","902.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 07월","E1","일반","844.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 08월","E1","일반","833.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 09월","E1","일반","833.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 10월","E1","일반","833.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 11월","E1","일반","863.00"
"A0006019","서울 강남구","복지강남충전소","서울 강남구 밤고개로 200","2019년 12월","E1","일반","875.00"
