,title,url
74,"""전기차·수소차 인프라 늘려 탄소중립 실현""",http://www.etnews.com/20201207000125
75,"유럽, 中 제치고 전기차 최대 시장 부상",https://view.asiae.co.kr/article/2020120811103442820
76,"전기차, 가로등서 쉽게 충전한다",http://news.kmib.co.kr/article/view.asp?arcid=0924167559&code=11131400&cp=nv
77,"아우디, '탄소 제로' 친환경 미션 시동···'e-트론' 대형 전기SUV 판매 1위...",https://www.sedaily.com/NewsView/1ZBPE74X60
78,'휘발유車 퇴출' 앞당긴 도쿄도…2030년부터 친환경 신차만 판다,https://www.hankyung.com/international/article/2020120917421
79,"""친환경車 공략"" 현대차 산타페 美 출격",http://www.dt.co.kr/contents.html?article_no=2020120902101132064001&ref=naver
80,與 친환경 내로남불 … 탄소 ‘0’ 외치면서 유해 신공항은 ‘GO’,http://news.kmib.co.kr/article/view.asp?arcid=0924168470&code=11151400&cp=nv
81,코로나 위기 속 `V자 반등`… 반도체·친환경차·배터리 `일등공신`,http://www.dt.co.kr/contents.html?article_no=2020120902100232033001&ref=naver
82,"美 ""2050년 탄소중립"" EU ""유럽 그린 딜""… 수소경제, 전세계가 뛰고있다",http://www.fnnews.com/news/202012311714494349
83,"한국수력원자력, 공공기관 첫 전기차 폐배터리로 ESS 사업",http://news.mk.co.kr/newsRead.php?no=1253971&year=2020
84,"전기차 모멘텀 탑재…현대차, 20만원 넘어 더 달린다",http://news.heraldcorp.com/view.php?ud=20201204000383
85,"獨포르셰, 친환경 인공연료 개발에 264억 투자",http://www.dt.co.kr/contents.html?article_no=2020120302109919039025&ref=naver
86,현대기아車 미국서 `씽씽`…새해엔 제네시스 질주한다,http://news.mk.co.kr/newsRead.php?no=1339786&year=2020
87,"전기차도 휴대폰처럼 쉽게 충전···서울 양천구, 가로등 활용 충전시스템 구...",https://www.sedaily.com/NewsView/1ZBIJMC323
88,車수출 작년比 23% 줄었는데 ‘친환경’ 전기차는 74%나 급증,http://www.munhwa.com/news/view.html?no=2020112601072339176001
89,전기차-친환경차 제조사 핵심파트너… 글로벌 시장서 러브콜,https://www.donga.com/news/article/all/20201128/104190195/1
90,전기차만? ESS도!…美친환경에 주목받는 배터리,http://www.edaily.co.kr/news/newspath.asp?newsid=02000806625966048
91,바이든 정부 앞두고 전세계 친환경 열풍…GM 전기차 인력 3000명 채용,https://view.asiae.co.kr/article/2020111011312738051
92,[뉴스의 맥] 탄소배출 늘리는 脫탄소정책…해법은 소형 원전뿐,https://www.hankyung.com/opinion/article/2020122984271
93,美 법인세 올리면 우리 기업도 영향… 전기차 등 친환경 업종은 반색,https://www.chosun.com/economy/industry-company/2020/11/06/LRT7ZTO7EVCIBHLFMUPLNVO5BI/?utm_source=naver&utm_medium=original&utm_campaign=news
94,"휘발유·경유 교통환경세 매년 15조원 걷는데…전기차 '0', 형평성 논란",https://www.hankyung.com/economy/article/2020120120361
95,"현대차, 수소·전기차 승부수…내연기관·친환경차 모두 1위",https://www.hankyung.com/economy/article/2020110116631
96,5년 뒤 車 수출 35% 친환경차…전기차 가격 1000만원 인하,https://view.asiae.co.kr/article/2020103011122206617
97,"아우디의 환경 프로그램, 전기차 생산도 친환경 방식으로",https://www.hankyung.com/economy/article/2020102725681
98,슈퍼카도 전기차 시대…포르쉐 타이칸 '더 짜릿한 질주',https://www.hankyung.com/economy/article/2020112437931
99,韓전기차 주행거리 벤츠 앞서지만…충전인프라는 中 30분의1,http://news.mk.co.kr/newsRead.php?no=1172855&year=2020
102,`전기차배터리` 유럽의 반격…韓과 전쟁 예고,http://news.mk.co.kr/newsRead.php?no=1331917&year=2020
