미래 기술의 핵심…삼성·LG 인공지능 저변 확대 나서
"대전AI교육지원체험센터, 초‧중‧고 '인공지능(AI)교육 학생캠프' 운영"
"제주대, 몽골 등 3개국과 인공지능.IT기술 공동프로젝트"
"급락장에서 빛난 인공지능…RA 알고리즘, 시장 수익률 웃돌아"
"보은군의회, 인공지능 영재학교 유치 결의안 채택"
"진천중, 오는 18일까지 인공지능 마을학교 운영"
"통영시 인공지능 CCTV, 극단적 선택 막았다"
[주간VC동향] 인공지능(AI) 의료 스타트업 '에어스메디컬' 253억원 규모 시리...
"지질자원硏, '2022 지질자원데이터 활용 및 인공지능 경진대회' 19일까지 진행"
"軍도 수학에 러브콜 ""독자 AI(인공지능) 알고리즘 만들겠다"""
"IAAE 국제인공지능&윤리협회-국가수리과학연구소, 산업수학 기반의 인공지능 ..."
"비헬씨-한국인공지능협회, 의료 마이데이터 첫 판매 계약 체결"
"KAIST-칭화대 공동연구팀, 모바일 기기에서 인공지능 '연합학습 속도 4.5배' ..."
"우상욱 팜캐드 대표 ""인공지능 신약개발… 기술 이만큼 왔다"""
"하나은행, 모바일뱅킹에 '인공지능 은행원' 도입"
숨겨진 물리 법칙 발견하는 인공지능
'인공지능반도체' 강국으로 급부상하는 한국...국가 연구 전략 거점으로써 KA...
"경남교육청, 초·중등 교원 인공지능 교육역량 키운다"
지질자원데이터 활용 및 인공지능 경진대회
"KAIST, 인공지능 반도체 생태계를 선도한다."
‘2022 지질자원데이터 활용 및 인공지능 경진대회’ 개최
"국가수리과학연구소-IAAE 국제인공지능&윤리협회, 업무협약"
"KAIST, 인공지능 기반 위성영상 분석 기술 시스템 개발 나서"
"[데일리 IT 단신] KT, EBS와 소프트웨어·인공지능 학습환경 제공 나서 外"
"현대자동차, 해외 대학 인공지능·AAM·자율주행·로보틱스 분야 '박사과정 인..."
"인공지능으로 지능형 위협 차단한다!...롯데정보통신, 오탐 및 미탐 제거 AI알..."
"카이스트, 스마트폰 위 인공지능(AI) 연합학습 속도 4.5배 획기적 향상 기법 ..."
반도체·인공지능 등 진로체험기관 확대…내일부터 모집
"토종 인공지능 위조 탐지 기술력, 글로벌 시장 문제 해결사로!... 마크비전, ..."
"DGIST 학부생 창업기업 ㈜유니바, 인공지능 학습용 데이터 구축 지원사업 선정"
"삼성전자, 인공지능·ML에 최적화된 '메모리 시맨틱 SSD' 등 차세대 메모리 솔..."
"고려대 로스쿨, 국내 최초 '데이터·인공지능법 전문과정' 개설"
"비헬씨, 인공지능협회와 의료 마이데이터 첫 판매계약 체결"
"[산업부 소식] 국표원, ‘인공지능 응용 가전제품’ 안전관리지침 개발 착수 ..."
"TTA, ‘인공지능 제품·서비스 신뢰성 확보 컨설팅’ 제공"
"""부산, 인공지능 치의학 도시 초석 마련"""
"SKT, 인공지능 등 ICT 스타트업 육성에서도 '빛났다'"
[바이오위클리] 인공지능으로 희소 유전 질환 진단…쓰리빌리언
"카카오브레인, 초거대 인공지능 모델 연구 확장"
"위메프 새 CTO에 이진호 선임, 애플 본사서 인공지능과 머신러닝 담당"
"인공지능 및 데이터센터 컴퓨팅 가속화...마이크로칩, 'CXL스마트 메모리 컨트..."
"순천시, 인공지능(AI) 반려 로봇 돌봄서비스 시작"
"인공지능, 로봇, 바이오 등 첨단 과학기술을 국방에 접목한다"
인공지능·소프트웨어 교육 역량 키운다
