"삼성전자, '2022 삼성 AI 챌린지' 개최…국내 우수 AI 인력 발굴"
"GS네오텍, AI 기반 보안 서비스 '사이트 디펜더' 출시"
"이영복 제네시스랩 대표 ""사람이 갖는 편견…공정한 AI면접에는 없습니다"" [시..."
"괴산군의회, AI 영재고 유치 건의문 채택"
"영진전문대, 전문대 유일 AI융합기계계열 학술대회 논문상 수상"
"KB증권, 인공지능 기술 적용 'AI 상담 콜봇' 서비스 시행"
"현대자동차, AI로 대규모 R&D 경력 인재 확보 나선다"
"[VC가 찜한 스타트업]AI로 채용 혁신 제네시스랩, 공정성·속도 다 잡는다"
"삼성전자, 제2회 '삼성 AI 챌린지' 개최"
"영진전문대학교, AI융합기계계열 학술대회 논문상 수상"
'삼성 AI 챌린지' 박두...AI 기반 활용한 신소재 연구·컴퓨터 비전 2개 부문...
동강대 AI 기반 맞춤형 토익 프로그램 운영
"KB證, ‘AI 상담 콜봇’ 서비스 오픈"
"호남대, 광주발달장애인훈련센터 AI교육과정 자문"
"KT, DX·AI 인재 양성 위한 MOU 체결…ICT 신사업 중소·중견·벤처기업 육성"
설계대로 잘 짓고 있나…AI가 콕 찾아낸다
"동강대, 'AI 산타' 플랫폼 활용 토익 교육 실시"
"포스코그룹, AI 기술 자문위원회 신설한다"
"KT, AI로봇 기반 병원업무 DX 추진"
"영진전문대 AI융합기계계열, 제어로봇시스템 재학생 전문대 유일 우수 논문상..."
"포스코그룹, AI 기술 자문위 신설…미래 전략 수립"
금융 AI 개발용 공동 데이터 라이브러리 출범
"인공지능 솔루션 전문기업 리빌더AI, 메가플랜과 가상공간 활용 최적 솔루션 ..."
"삼성전자, 'AI 챌린지' 개최 … 주제는 '신소재 연구·컴퓨터 비전'"
"삼성전자, 대학원생 대상 'AI 챌린지'... 신소재 연구·컴퓨터 비전 공모"
"KB증권, 'AI 상담 콜봇' 서비스 오픈"
"KT, EBS와 손잡고 ‘AI 꿈나무’ 육성"
"포스코그룹, AI 기술 자문위원회 신설"
"윤선생, AI 영어 말하기 '말하톤 대회' 개최"
"아미크-KAIST, AI 기반 ‘ERP 시스템 위험 사전 진단’ 기술 공동 개발"
"포스코그룹, 비즈니스 전략 조언할 AI기술자문위원회 신설"
"GS네오텍, AI-ML 기반 보안솔루션 서비스 '사이트디펜더' 출시"
"""초등생도 '코딩' 즐기도록""…KT, EBS와 'SW·AI' 인재 키운다"
"영진전문대 AI융합기계계열, 제어로봇시스템학회 학술대회서 논문상 수상"
"호남대, 광주발달장애인훈련센터 AI교육 자문"
"포스코그룹, 'AI 기술 자문위원회' 신설"
금융권 AI 도입 확대되나…금융위 '데이터 라이브러리' 추진
"현대차, R&D 경력 인재 세자릿수 채용…'AI 인터뷰 도입'"
"포스코, AI기술 자문위원회 신설"
"포스코그룹, AI 기술 자문위원회 신설…기술 공유·토론 진행"
"KT·NIPA, AI·DX 분야 인재양성 MOU 체결"
"현대차, R&D 인력 채용…AI가 면접 본다"
금융권 AI 도입 확대되나…금융위 '데이터 라이브러리' 추진(종합)
"경북교육청, 누구나 가능한 SW-AI교육 기반 마련 확대"
"영진전문대, AI융합기계계열 학술대회서 전문대생 유일 우수논문상 수상"
윤석열정부 '금융혁신' 첫 발…'AI 라이브러리' 만든다
맞춤형 AI 인력 양성과정 77명 수료
"""AI반도체 수요 폭발""…삼성전자, 우수인력 발굴"
"서울시-KAIST, 기업 AI 인력양성 프로그램 지원"
거대 금융 정보 저장소 구축...'금융AI 고도화' 첫걸음
"현대차, 연구개발본부 경력자 대규모 채용..인터뷰는 AI 방식!"
"""100만 디지털 인재 양성""...KT, EBS와 AI·SW 교육 협력"
"[특징주]링크제니시스, 정부 AI 산업 원천기술 확보 추진..국내최초 AI 시스템..."
"건강하고 안전한 생활 공간을 위해 … KT, ㈜세존과 AI/DX기술 기반 방역 산업..."
KB증권 'AI 상담 콜봇' 서비스 시행…24시간 어디서나 상담 가능
"서울시·KAIST, 고급 인공지능(AI) 개발자 양성 '카이스트 머신러닝 엔지니어..."
"""당뇨 관리도 AI로"" KT-서울성모병원 디지털 치료 '맞손'"
"삼성전자, AI 인재 뽑고 미래 반도체 ‘초격차 기술’ 확보 가속"
"삼성전자, '2022 삼성 AI 챌린지'...인공지능 기반 '신소재 연구'와 '컴퓨터 ..."
"KT, EBS와 ‘소프트웨어·AI 미래인재’ 키운다"
"KB증권, ‘AI 상담 콜봇’ 서비스 오픈"
"""인공지능으로 반·디 연구"" 삼성전자, '2022 삼성 AI 챌린지' 개최"
"라이언로켓-티그컴퍼니, AI 접목한 K-팝 플랫폼 공동개발 추진"
포스코그룹 'AI 기술 자문위원회' 신설
"농정원, 총 상금 1억 원 규모 '스마트농업 AI 경진대회’"
"마우저, 협업을 통한 혁신...'AI 기반 차세대 운전자 모니터링 시스템' 조명"
포스코 AI기술 자문위원회…산학전문가 20여명 첫 회의
"[데일리 IT 단신] KT-NIPA, ICT 벤처 DX컨설팅·AI인재양성 지원 外"
가명정보 재사용 허용 '금융 AI 데이터 라이브러리' 구축
금융위 부위원장 “금융권 빅데이터·AI 활용 위해 규제 혁신”
"아이스크림에듀, '서리풀 샘 AI 스마트 스쿨링' 우수 학습 멘티에 장학금 수여"
"경상국립대 AI융합인재교육연구단, 지자체 네트워킹 및 협력강화 워크숍 개최"
"포스코그룹, AI기술 자문위원회 첫 회의 개최"
"KT-NIPA, 컨설팅 및 AI·DX 인재양성 업무 협약"
"한양대 ERICA, CEO를 위한 AI 교육과정 신설"
"정보통신산업진흥원-KT, ICT 벤처 육성 위한 AI·DX 인재 양성 및 컨설팅 협력"
"포스코그룹, AI기술 자문위원회 신설…""전략 수립에 도움될 것"""
"김소영 ""금융권도 AI 활성화 필요…빅데이터 확보·제도정비 나설 것"""
김주하 AI가 전하는 8월 8일 뉴스7 예고
"경북교육청, SW-AI교육 환경개선 사업 확대 실시"
"도로교통공단, AI 기반 교통사고분석시스템 사업 착수"
"흥국생명·로완, AI 활용한 치매 예방 프로그램 업무협약 체결"
"KT, EBS와 AI·SW 인재 양성 위한 교육 콘텐츠 제작"
"DL이앤씨, 국내 최초 AI·360도 카메라 기반 현장관리 솔루션 '디비전' 도입"
"[특징주]드림어스컴퍼니, 아마존 2조에 아이로봇 인수..AI 로봇청소기 '에이클..."
"삼성전자, '2022 삼성 AI 챌린지' 개최....AI 우수 인력 발굴과 반도체, 디스..."
"금융사, AI 데이터 활용 더 쉬워진다"
"KT, EBS와 AI 인재 육성…SW·AI 학습환경 제공"
"금융당국, AI데이터 라이브러리 구축 추진"
'인공지능(AI) 활용 간담회'에서 발언하는 김소영 금융위 부위원장
AI 돌봄 인형…독거 노인 든든한 벗
"금융위 ""AI로 불필요한 규제 없애고 소비자 편익 높인다"""
"KT, EBS와 AI 인재 육성 협력"
"에듀윌, 공무원 합격진단 'AI-Pass'…예측 서비스 운영"
"KB증권, AI 상담 콜봇 서비스 오픈外키움증권 [쿡경제]"
"경북교육청, 누구나 가능한 'SW-AI교육' 기반 마련"
"포스코그룹, AI기술 자문위 신설…AI사업분야·인재 발굴 나선다"
"KB증권, AI 상담 콜봇 서비스 개시"
"DL이앤씨, 국내 첫 AI·360도 카메라 기반 현장관리 솔루션 도입"
"경북교육청, SW-AI교육 채움교실 구축"
금융AI 활성화 위해 금융·비금융 대규모 컨소시엄 꾸린다
"위메프, 애플 출신 AI전문가 기술책임자로 영입"
"[산업 이모저모] KT-NIPA, AI·DX 인재 양성 맞손...ICT 벤처 육성 위한 DX 컨..."
"금융위, 가명정보 재사용하는 'AI 데이터 라이브러리' 구축"
한밤 충무대교 난간 넘어간 40대 'AI 시스템'이 구조했다
"딥브레인AI, 하나은행 앱에 AI은행원 공급"
금융권 AI기술 키운다...'데이터 라이브러리' 추진
"KB증권, AI 음성 상담 서비스 '콜봇' 오픈"
"경북교육청, SW-AI교육 환경개선 사업 확대 추진"
